时间,中国-确诊,湖北省-确诊,武汉市-确诊,北京市-确诊,上海市-确诊,广州市-确诊,浙江省-确诊,河南省-确诊,湖南省-确诊,安徽省-确诊
2019-12-01,1,1,1,-,-,-,-,-,-,-
2019-12-02,1,1,1,-,-,-,-,-,-,-
2019-12-03,1,1,1,-,-,-,-,-,-,-
2019-12-04,1,1,1,-,-,-,-,-,-,-
2019-12-05,1,1,1,-,-,-,-,-,-,-
2019-12-06,1,1,1,-,-,-,-,-,-,-
2019-12-07,1,1,1,-,-,-,-,-,-,-
2019-12-08,1,1,1,-,-,-,-,-,-,-
2019-12-09,1,1,1,-,-,-,-,-,-,-
2019-12-10,1,1,1,-,-,-,-,-,-,-
2019-12-11,4,4,4,-,-,-,-,-,-,-
2019-12-12,4,4,4,-,-,-,-,-,-,-
2019-12-13,4,4,4,-,-,-,-,-,-,-
2019-12-14,4,4,4,-,-,-,-,-,-,-
2019-12-15,6,6,6,-,-,-,-,-,-,-
2019-12-16,6,6,6,-,-,-,-,-,-,-
2019-12-17,7,7,7,-,-,-,-,-,-,-
2019-12-18,8,8,8,-,-,-,-,-,-,-
2019-12-19,9,9,9,-,-,-,-,-,-,-
2019-12-20,14,14,14,-,-,-,-,-,-,-
2019-12-21,18,18,18,-,-,-,-,-,-,-
2019-12-22,21,21,21,-,-,-,-,-,-,-
2019-12-23,29,29,29,-,-,-,-,-,-,-
2019-12-24,30,30,30,-,-,-,-,-,-,-
2019-12-25,33,33,33,-,-,-,-,-,-,-
2019-12-26,35,35,35,-,-,-,-,-,-,-
2019-12-27,37,37,37,-,-,-,-,-,-,-
2019-12-28,37,37,37,-,-,-,-,-,-,-
2019-12-29,37,37,37,-,-,-,-,-,-,-
2019-12-30,37,37,37,-,-,-,-,-,-,-
2019-12-31,40,40,40,-,-,-,-,-,-,-
2020-01-01,43,43,43,-,-,-,-,-,-,-
2020-01-02,44,44,44,-,-,-,-,-,-,-
2020-01-03,41,41,41,-,-,-,-,-,-,-
2020-01-04,41,41,41,-,-,-,-,-,-,-
2020-01-05,41,41,41,-,-,-,-,-,-,-
2020-01-06,41,41,41,-,-,-,-,-,-,-
2020-01-07,41,41,41,-,-,-,-,-,-,-
2020-01-08,41,41,41,-,-,-,-,-,-,-
2020-01-09,41,41,41,-,-,-,-,-,-,-
2020-01-10,41,41,41,-,-,-,-,-,-,-
2020-01-11,41,41,41,-,-,-,-,-,-,-
2020-01-12,41,41,41,-,-,-,-,-,-,-
2020-01-13,41,41,41,-,-,-,-,-,-,-
2020-01-14,41,41,41,-,-,-,-,-,-,-
2020-01-15,41,41,41,-,-,-,-,-,-,-
2020-01-16,45,45,45,-,-,-,-,-,-,-
2020-01-17,62,62,62,-,-,-,-,-,-,-
2020-01-18,198,121,121,-,-,-,-,-,-,-
2020-01-19,275,198,198,-,-,-,-,-,-,-
2020-01-20,291,270,258,5,1,-,0,-,-,0
2020-01-21,440,375,343,10,6,2,5,1,1,0
2020-01-22,571,444,405,14,16,5,10,5,4,1
2020-01-23,830,549,495,22,20,7,43,9,24,15
2020-01-24,1287,729,572,36,33,14,62,32,43,39
2020-01-25,1975,1052,618,41,40,14,104,83,69,60
2020-01-26,2744,1423,698,68,53,39,128,128,100,70
2020-01-27,4515,2714,1590,80,66,51,173,168,143,106
2020-01-28,5974,3554,1905,91,80,63,296,206,221,152
2020-01-29,7711,4586,2261,114,101,79,428,206,277,200
2020-01-30,9692,5806,2639,132,128,106,537,352,332,237
2020-01-31,11791,5806,2639,139,135,112,538,352,332,237
2020-02-01,14380,7153,3215,168,169,150,599,422,389,297
2020-02-02,17205,9074,4109,191,182,179,661,493,463,340
2020-02-03,20438,11177,5142,212,203,200,724,566,521,408
2020-02-04,20537,13522,6384,228,219,224,829,675,593,480
2020-02-05,24441,16678,8351,253,243,249,895,764,661,530
2020-02-06,28140,19665,10117,274,257,270,954,851,711,591
2020-02-07,31264,22112,11618,297,277,285,1006,914,772,665
2020-02-08,34672,24953,13603,315,286,301,1048,981,803,733
2020-02-09,37252,27100,14982,326,293,304,1075,1033,838,779
2020-02-10,40235,29631,16902,337,295,313,1092,1073,879,830
